event_date,device_category,operating_system,event_name,page_location,page_referrer,firebase_screen,firebase_previous_screen,sn,sr,app_version,event_count,user_pseudo_id_count
2026-09-13,mobile,iOS,or_search_tablemap,,,HK.Home,,,Index,7.2.1,2,2
2026-09-13,mobile,iOS,user_share_poi,,,HK.SR2.Overview.895236,,,sr2sharepop,7.15.0,1,1
2026-09-13,mobile,Android,or_search_all,,,,,hk.Search.SR1.1,,7.16.1,2,2
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.Overview.822866,,,sr2allphoto,7.3.3,1,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.Overview.515728,,HK.SR2.Overview.515728,sr2allphoto,7.10.3,1,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.Overview.784243,,,sr2allphoto,7.3.2,1,1
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.photo.decor.897494,,HK.SR2.photo.decor.897494,sr2PhotoTab,7.10.3,1,1
2026-09-13,mobile,iOS,or_poi_review_back,,,HK.SR2.review.669441,,HK.SR2.review.669441,,7.10.2,1,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.Overview.50643,,HK.SR2.Overview.50643,sr2allphoto,7.9.5,1,1
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.photo.menu.685089,,HK.SR2.photo.menu.685089,,7.10.3,2,1
2026-09-13,mobile,iOS,or_search_layer_tips,,,HK.Search.SR1.6,,HK.Search.SR1.6,qcksearch,7.12.3,11,7
2026-09-13,mobile,iOS,or_poi_map,,,HK.SR2.Overview.847725,,HK.SR2.Overview.847725,,7.6.3,1,1
2026-09-13,mobile,Android,or_chart_bookmarked,,,HK.Chart.Bookmarked,,hk.Chart.Preview.bookmarked,,7.16.0,1,1
2026-09-13,mobile,iOS,or_search_get_poi,,,HK.AdvSearch.sr1.1,,,sr1,7.6.1,1,1
2026-09-13,mobile,iOS,or_sr1_reel_media,,,HK.SR1.Reel.photo.20229963,,hk.SR1.1,,7.15.0,1,1
2026-09-13,mobile,iOS,or_search_back_dialog,,,HK.SR2.Overview.642181,,HK.SR2.Overview.642181,,7.10.3,3,2
2026-09-13,mobile,iOS,view_overview_Promotion,,,HK.SR2.Overview.627040,,,,7.9.2,1,1
2026-09-13,mobile,iOS,or_poi_get_photos_others,,,HK.SR2.photo.menu.631636,,HK.SR2.photo.menu.631636,sr2PhotoTab,7.15.0,1,1
2026-09-13,mobile,iOS,or_takeaway_order,,,HK.Takeaway.order.537611,,HK.Takeaway.order.537611,themesr1,7.9.6,2,1
2026-09-13,mobile,iOS,user_share_poi,,,HK.QckSearch,,,sr2sharepop,7.17.2,1,1
2026-09-13,mobile,iOS,or_poi_moreinfo,,,HK.SR2.Overview.768412,,HK.SR2.Overview.768412,sr2MoreInfo,7.12.3,1,1
2026-09-13,mobile,iOS,user_share_poi,,,HK.SR2.Overview.806968,,,sr2sharepop,7.14.4,1,1
2026-09-13,mobile,iOS,or_poi_popularDish,,,HK.SR2.photo.728768,,HK.SR2.photo.728768,sr2PhotoTab,7.9.2,1,1
2026-09-13,mobile,iOS,or_page_home,,,HK.Home,,,btmBar,7.10.3,19,14
2026-09-13,mobile,iOS,or_coupon_getdetails,,,HK.SR2.Overview.1015005,,HK.SR2.Overview.1015005,sr2OV,7.16.0,1,1
2026-09-13,mobile,iOS,or_takeaway_order,,,HK.Takeaway.order.674521,,HK.Takeaway.order.674521,sr2Tab,7.12.3,1,1
2026-09-13,mobile,iOS,or_search_back_dialog,,,HK.QckSearch.SR1.4,,HK.QckSearch.SR1.4,,7.9.2,5,5
2026-09-13,mobile,iOS,or_search_get_poi,,,HK.AdvSearch.SR1.56,,,sr1,7.6.1,1,1
2026-09-13,mobile,Android,poi_emenu_get_item,,,HK.SR2.Menu.629069,,,,7.18.1,1,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.Overview.516665,,HK.SR2.Overview.516665,sr2photo,7.6.6,1,1
2026-09-13,mobile,Android,or_tm_menu_offer_detail,,,HK.TM.Menu.Offer.35016,,,,7.16.2,1,1
2026-09-13,mobile,iOS,or_poi_map,,,HK.SR2.Overview.715165,,HK.SR2.Overview.715165,,7.12.3,1,1
2026-09-13,mobile,iOS,or_takeaway_order,,,HK.Takeaway.order.879660,,HK.Takeaway.order.879660,themesr1,7.13.0,1,1
2026-09-13,mobile,iOS,poi_emenu_photo,,,HK.SR2.Menu.2665,,HK.SR2.Menu.2665,,7.6.3,1,1
2026-09-13,mobile,iOS,or_poi_moreinfo,,,HK.SR2.Overview.782809,,HK.SR2.Overview.782809,sr2MoreInfo,7.14.4,2,2
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.photo.173466,,HK.SR2.photo.173466,sr2PhotoTab,7.9.5,1,1
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.Menu.847466,,HK.SR2.Menu.847466,,7.7.1,1,1
2026-09-13,mobile,iOS,or_search_adv,,,HK.AdvSearch.SR1.22,,HK.AdvSearch.SR1.22,Advance,7.9.6,1,1
2026-09-13,mobile,iOS,user_photo_info,,,HK.SR2.Reel.photo.29113218,,HK.SR2.Reel.photo.29113218,Reel,7.9.0,1,1
2026-09-13,mobile,Android,view_SR1_Promotion,,,HK.Nearby.SR1.7,,HK.Nearby.SR1.7,,7.6.0,1,1
2026-09-13,mobile,iOS,or_poi_doorPhoto,,,HK.SR2.Overview.820504,,HK.SR2.Overview.820504,Others,7.12.3,1,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.Overview.1127468,,HK.SR2.Overview.1127468,sr2allphoto,7.9.5,1,1
2026-09-13,mobile,iOS,or_poi_popularDish,,,HK.SR2.photo.662441,,HK.SR2.photo.662441,sr2PhotoTab,7.6.6,2,1
2026-09-13,mobile,iOS,or_poi_popularDish,,,HK.SR2.photo.all.742186,,HK.SR2.photo.all.742186,sr2PhotoTab,7.16.1,1,1
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.Reel.photo.28099604,,HK.SR2.photo.menu.897634,,7.10.2,1,1
2026-09-13,mobile,Android,or_takeaway_order,,,HK.SR2.overview.802015,,,sr2Tab,7.18.1,2,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.photo.796764,,HK.SR2.photo.796764,,7.6.6,2,1
2026-09-13,mobile,iOS,or_poi_popularDish_detail,,,HK.SR2.photo.popularDish.758274,,HK.SR2.photo.popularDish.758274,,7.14.2,1,1
2026-09-13,mobile,iOS,or_search_back_dialog,,,HK.SR2.Overview.696332,,HK.SR2.Overview.696332,,7.4.2,1,1
2026-09-13,mobile,iOS,user_share_poi,,,HK.SR2.Overview.190869,,,sr2sharepop,7.17.2,1,1
2026-09-13,mobile,iOS,or_poi_get_photos_others,,,HK.SR2.Reel.photo.25072341,,HK.SR2.photo.menu.658748,sr2PhotoTab,7.14.4,1,1
2026-09-13,mobile,iOS,or_poi_get_photos_video,,,HK.SR2.photo.food.834498,,HK.SR2.photo.food.834498,sr2PhotoTab,7.11.1,1,1
2026-09-13,mobile,iOS,or_poi_map,,,HK.SR2.Overview.707641,,HK.SR2.Overview.707641,,7.14.3,1,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.photo.760592,,,,7.3.1,2,1
2026-09-13,mobile,iOS,or_qcksearch,,,HK.Chart.Preview.Popular,,,Index,7.10.3,1,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.Overview.16543,,HK.SR2.Overview.16543,sr2allphoto,7.10.3,1,1
2026-09-13,mobile,iOS,or_search_quick,,,HK.SR1.Reel.photo.8990404,,HK.SR1.Reel.photo.8990404,search_key_in,7.8.1,2,1
2026-09-13,mobile,Android,or_search_quick,,,HK.LMS2.35215.tab.-990.1,,hk.Home,lmsSr1,7.18.1,1,1
2026-09-13,mobile,iOS,poi_emenu_photo,,,HK.SR2.Menu.809498,,HK.SR2.Menu.809498,,7.9.6,1,1
